rank,iconUrl,contractName,baseCurrency,isSalesOnly,value,valueUSD,platform,buyers,sellers,owners,transactions,changeInValueUSD,previousValue,previousValueUSD
1,https://cryptoslam-token-images.s3.amazonaws.com/icons/moonbirds.png,Moonbirds,ETH,false,144223.64687134,436849093.91,0,11463,5852,0,15350,,0,0
2,https://d1nht67oz99wd1.cloudfront.net/resized/mutant-ape-yacht-club_resized.png,Mutant Ape Yacht Club,ETH,false,378753.322131701,201219336.13,0,1604,1682,0,2378,34.3723240832337,249701.595198914,149747604.28
3,https://d1nht67oz99wd1.cloudfront.net/resized/BoredApeYachtClub_resized.ico,Bored Ape Yacht Club,ETH,false,976209.188961113,178061843.45,0,403,469,0,636,-24.3766747103548,1224044.24152931,235458891.51
4,https://d1nht67oz99wd1.cloudfront.net/az.png,Azuki,ETH,false,140752.701391596,167988316.75,0,1256,1559,0,2186,107.720492464968,28645.0020667272,80872288.89
5,https://d1nht67oz99wd1.cloudfront.net/clonex.jpeg,CloneX,ETH,false,783302.745106906,109099598.72,0,1185,1233,0,1766,72.7299142424138,146528.81170598,63161959.64
6,https://cryptoslam-token-images.s3.amazonaws.com/beanz.jpg,Beanz,ETH,false,44220.5604186663,96374476.66,0,3340,3180,0,6317,,0,0
7,https://d1nht67oz99wd1.cloudfront.net/resized/world-of-women_resized.png,World Of Women Galaxy,ETH,false,28227.9951913443,90522810.85,0,10561,5718,0,17349,,0,0
8,https://cryptoslam-token-images.s3.amazonaws.com/murakami.png,MurakamiFlowers Seed,ETH,true,28690.967961,88013026.36606574,0,3161,2674,1,4627,,0,0
9,https://cryptoslam-token-images.s3.amazonaws.com/imposters.png,Impostors Genesis,ETH,false,2377924.02425032,71864947.32,0,9060,4601,0,14082,,0,0
10,https://d1nht67oz99wd1.cloudfront.net/rtfktmnlth.jpeg,RTFKT MNLTH,ETH,true,20899.880643,64575769.19599402,0,1705,1744,1,2595,154.74848458580186,9135.646011,25348833.49786689
11,https://d1nht67oz99wd1.cloudfront.net/resized/cryptopunks-logo_resized.png,CryptoPunks,ETH,false,18457.06302,58625040.149618566,0,143,140,3575,226,-29.836093855802357,30571.60023,83554413.33202726
12,https://cryptoslam-token-images.s3.amazonaws.com/arcade.png,Arcade Land,ETH,false,17244.6976439878,56622665.76,0,8428,7259,0,16842,,0,0
13,https://cryptoslam-token-images.s3.amazonaws.com/kiwami.jpg,Kiwami,ETH,false,14336.5760513553,48673039.55,0,8302,8345,0,20436,1918.57642664296,775.846702456241,2411255.72
14,https://cryptoslam-token-images.s3.amazonaws.com/icons/doodles.jpg,Doodles,ETH,false,149957.353077441,48193915.43,0,700,818,0,1099,7.36520809970548,43973.7620075857,44887833.11
15,https://cryptoslam-token-images.s3.us-east-1.amazonaws.com/icons/crabada2.png,Crabada,AVAX,false,594609835.484375,42613680,11,5677,2389,0,63802,-6.73999017132698,414577064.492188,45693411.44
16,https://d1nht67oz99wd1.cloudfront.net/resized/bored-ape-kennel-club_resized.png,Bored Ape Kennel Club,ETH,false,21889.3684222866,40981278.54,0,949,942,0,1430,13.7577683593991,14817.7000790526,36025037.35
17,https://cryptoslam-token-images.s3.amazonaws.com/icons/moar.png,MOAR by Joan Cornella,ETH,false,11548.5428591445,36583369.34,0,4768,3582,0,7681,,0,0
18,https://cryptoslam-token-images.s3.amazonaws.com/icons/akuma.png,Akuma,ETH,true,9880.55609061942,32924298.51,0,5257,5805,0,12749,,0,0
