rank,iconUrl,contractName,baseCurrency,isSalesOnly,value,valueUSD,platform,buyers,sellers,owners,transactions,changeInValueUSD,previousValue,previousValueUSD
85,https://d1nht67oz99wd1.cloudfront.net/shadowysupercoder-logo.png,Shadowy Super Coder,SOL,false,11022.479999999,1138492.9878959546,14,51,90,1313,96,68.54004341773395,6690.449799999,675502.9634554854
86,https://d1nht67oz99wd1.cloudfront.net/CyberKongz.png,CyberKongz,ETH,false,674.87114928105,1122756.88,0,53,52,0,60,-28.1022975310349,3818.57103825547,1561603.28
87,https://cryptoslam-token-images.s3.amazonaws.com/icons/TombStoned-HighSociety.jpg,TombStoned HighSociety,SOL,true,10901.473884697,1095940.3083367378,14,555,684,911,703,-18.806388699182165,13134.299707984,1349786.3819313808
88,https://d1nht67oz99wd1.cloudfront.net/onechainmonkey.png,OnChainMonkey,ETH,false,354.405088026077,1060155.07,0,83,134,0,179,149.129372030375,140.786348829046,425543.99
89,https://cryptoslam-token-images.s3.amazonaws.com/icons/anonymice.jpeg,Anonymice,ETH,false,350.38187636435,1027739.13,0,301,252,0,405,842.026667038196,36.1201998889446,109098.73
90,https://d1nht67oz99wd1.cloudfront.net/resized/pudgy-penguins_resized.jpg,Pudgy Penguins,ETH,false,338.636004,1027317.944771666,0,107,107,4455,142,5.335592353022216,321.939578,975280.9300475642
91,https://cryptoslam-token-images.s3.amazonaws.com/icons/solgods.jpg,SOLGods,SOL,false,10205.4398,1021703.7737617672,14,175,199,3033,204,93.88266905383952,5123.79356969,526970.1406256425
92,https://cryptoslam-token-images.s3.amazonaws.com/icons/zombie+(1).png,ZombieClub Token,ETH,false,324.161128282547,972151.72,0,128,154,0,170,-6.0241692474892,340.393349528313,1034469.94
93,https://d1nht67oz99wd1.cloudfront.net/coolman.jpeg,CoolmansUniverse,ETH,false,314.925123119727,936303.28,0,235,233,0,324,10.8448292660578,1151.22126788367,844697.3
94,https://d1nht67oz99wd1.cloudfront.net/bossbeauties.jpg,Boss Beauties,ETH,false,296.058126032352,900706.83,0,182,197,0,261,63.4504470708748,181.391760830767,551058.04
95,https://d1nht67oz99wd1.cloudfront.net/cybersamurai-logo.png,Cyber Samurai,SOL,false,8884.397746174,895158.7053093021,14,385,857,1923,974,190.6733545679486,3043.734689863,307960.3586781627
96,https://cryptoslam-token-images.s3.amazonaws.com/icons/Serum-Surfers.jpg,Serum Surfers,SOL,true,8826.622072046,894341.1994171073,14,1783,4122,1530,4137,,0,0
97,https://cryptoslam-token-images.s3.amazonaws.com/gutterjuice.jpeg,Gutter Juice,ETH,false,292.96261109272,886802.92,0,370,474,0,917,-18.8323525013287,359.553747191094,1092557.13
98,https://cryptoslam-token-images.s3.amazonaws.com/icons/mindfolk.jpg,Mindfolk,SOL,false,8632.839,875020.5255197563,14,320,431,829,441,16746.420147085908,50.46,5194.103660480753
99,https://d1nht67oz99wd1.cloudfront.net/pethooligan.jpeg,My Pet Hooligan,ETH,false,285.409140114672,865802.84,0,132,176,0,216,59.9721060410188,178.277450485737,541221.13
100,https://cryptoslam-token-images.s3.amazonaws.com/icons/DeadCets.jpg,DeadCets,SOL,true,8468.261800145,861880.9711359362,14,3692,7905,1707,8432,,0,0
